geoid,year,qoz_2018,population,population_source_code,poverty_universe,poverty_universe_source_code,poverty_count,poverty_count_source_code,median_household_income,median_household_income_source_code,median_gross_rent,median_gross_rent_source_code,civilian_labor_force,civilian_labor_force_source_code,unemployed,unemployed_source_code,workplace_jobs
25003901100,2018,0,3440,,3199,,219,,55907,,909,,1712,,48,,1518
25003901100,2019,0,3635,,3429,,218,,56500,,953,,1861,,28,,1597
25003911100,2018,0,3000,,3000,,196,,76818,,966,,1618,,137,,1350
25003911100,2019,0,2973,,2973,,229,,78315,,1144,,1615,,102,,1285
25003912100,2018,0,6625,,6520,,625,,59122,,848,,3637,,115,,1893
25003912100,2019,0,6610,,6507,,320,,68538,,933,,3690,,110,,1951
25003913100,2018,0,4979,,4659,,193,,72411,,912,,2372,,119,,3608
25003913100,2019,0,4963,,4623,,243,,66500,,874,,2281,,89,,3778
25003914100,2018,0,5760,,5562,,319,,71369,,874,,3102,,170,,2973
25003914100,2019,0,5742,,5520,,296,,74009,,907,,3005,,91,,3079
25003920101,2018,0,4499,,3095,,285,,79191,,996,,2411,,102,,2444
25003920101,2019,0,4475,,3058,,265,,81759,,882,,2434,,90,,2432
25003920102,2018,0,3260,,2050,,298,,86765,,903,,1613,,103,,1378
25003920102,2019,0,3039,,1835,,272,,88438,,1104,,1479,,88,,1582
25003921300,2018,0,4662,,3658,,692,,29665,,720,,2332,,121,,576
25003921300,2019,0,4587,,3620,,814,,33377,,762,,2277,,48,,552
25003921400,2018,1,1287,,1277,,306,,32336,,790,,597,,79,,1512
25003921400,2019,1,1415,,1405,,298,,36964,,766,,644,,51,,1403
25003921500,2018,0,2953,,2953,,447,,44500,,757,,1452,,123,,486
25003921500,2019,0,2877,,2877,,515,,44706,,778,,1426,,123,,634
25003922100,2018,1,2434,,2433,,279,,40117,,644,,1214,,58,,842
25003922100,2019,1,2456,,2448,,355,,41302,,723,,1191,,70,,884
25003922200,2018,0,3627,,3626,,671,,57426,,879,,2015,,151,,812
25003922200,2019,0,3521,,3521,,483,,66875,,778,,2031,,100,,829
25003922300,2018,1,2111,,2111,,87,,53750,,933,,1143,,52,,101
25003922300,2019,1,2148,,2148,,75,,58750,,964,,1216,,46,,103
25003923100,2018,0,3172,,3172,,139,,64979,,995,,1762,,179,,526
25003923100,2019,0,3159,,3159,,224,,70236,,1073,,1750,,103,,558
25003924100,2018,0,1960,,1892,,233,,48493,,826,,999,,41,,1616
25003924100,2019,0,1795,,1723,,257,,43578,,853,,821,,32,,1698
25003925100,2018,0,6894,,5887,,558,,56622,,897,,3722,,161,,0
25003925100,2019,0,6901,,5886,,495,,55478,,905,,3819,,139,,0
25003926100,2018,0,3170,,3170,,259,,76250,,1076,,1795,,43,,1343
25003926100,2019,0,3160,,3160,,262,,86184,,968,,1889,,79,,1519
25003931100,2018,0,1744,,1742,,159,,64330,,928,,934,,36,,169
25003931100,2019,0,1777,,1774,,149,,67422,,932,,1006,,33,,171
25003931300,2018,0,1504,,1486,,150,,60893,,813,,833,,58,,212
25003931300,2019,0,1488,,1450,,142,,61750,,842,,828,,63,,131
25003931400,2018,0,1714,,1711,,97,,74688,,,-666666666,1066,,51,,178
25003931400,2019,0,1685,,1682,,120,,74185,,,-666666666,1050,,46,,210
25003932200,2018,0,2402,,2392,,152,,75852,,1118,,1406,,78,,350
25003932200,2019,0,2443,,2443,,156,,75250,,1188,,1412,,70,,362
25003932300,2018,0,1853,,1844,,124,,65820,,745,,1109,,44,,243
25003932300,2019,0,1837,,1829,,216,,62426,,739,,1012,,30,,224
25003933200,2018,0,1205,,1201,,126,,72115,,1092,,635,,33,,235
25003933200,2019,0,1248,,1248,,89,,90000,,1175,,625,,11,,249
25003933300,2018,0,1312,,1290,,48,,76731,,1192,,652,,25,,348
25003933300,2019,0,1544,,1491,,56,,71250,,1228,,759,,37,,357
25003933400,2018,0,2392,,2327,,188,,74597,,700,,1332,,82,,542
25003933400,2019,0,2284,,2218,,97,,78438,,1271,,1294,,38,,552
25003934200,2018,0,1133,,1129,,73,,75982,,1587,,710,,30,,204
25003934200,2019,0,1084,,1084,,76,,79511,,1591,,697,,33,,270
25003934300,2018,0,1965,,1965,,117,,71743,,1122,,1071,,23,,284
25003934300,2019,0,1981,,1981,,119,,75658,,1037,,1056,,20,,285
25003935100,2018,0,2466,,2462,,130,,82604,,1239,,1381,,48,,836
25003935100,2019,0,2387,,2387,,165,,85714,,1085,,1293,,47,,770
25003935200,2018,0,4991,,4983,,514,,62500,,749,,2830,,100,,5263
25003935200,2019,0,4849,,4841,,387,,56713,,906,,2743,,59,,4991
25003935300,2018,1,4187,,4082,,654,,46069,,723,,2001,,137,,2507
25003935300,2019,1,4080,,3978,,673,,45913,,738,,1914,,122,,2740
25005600100,2018,0,3984,,3813,,231,,95789,,1233,,2351,,34,,994
25005600100,2019,0,4036,,3830,,212,,94063,,1366,,2432,,41,,1070
25005600202,2018,0,5088,,5088,,152,,85528,,1472,,3016,,241,,4694
25005600202,2019,0,4973,,4973,,150,,88516,,1481,,3002,,203,,4893
25005600203,2018,0,5842,,5842,,303,,134325,,1288,,3221,,113,,1335
25005600203,2019,0,6076,,6076,,229,,155239,,1818,,3438,,140,,1463
25005600204,2018,0,4002,,3989,,107,,116078,,1815,,2412,,97,,488
25005600204,2019,0,4056,,4043,,137,,116734,,1807,,2465,,112,,556
25005610100,2018,0,5564,,5564,,168,,89660,,1291,,3816,,204,,2698
25005610100,2019,0,5664,,5664,,178,,90188,,1323,,4038,,237,,2526
25005610202,2018,0,5399,,5399,,172,,123533,,1696,,3261,,133,,7766
25005610202,2019,0,5504,,5504,,172,,125833,,1821,,3328,,139,,7692
25005610203,2018,0,6868,,6853,,148,,133910,,1138,,3975,,227,,1022
25005610203,2019,0,6758,,6738,,82,,151417,,1025,,3971,,229,,1209
25005610204,2018,0,5930,,5890,,213,,119063,,1135,,3625,,316,,1160
25005610204,2019,0,6021,,5986,,329,,120714,,1199,,3704,,172,,1162
25005611101,2018,0,5199,,5146,,282,,115521,,1064,,3298,,111,,1917
25005611101,2019,0,5334,,5281,,399,,118301,,1434,,3201,,125,,1960
25005611102,2018,0,5411,,3617,,325,,108177,,525,,3124,,142,,2099
25005611102,2019,0,5377,,3553,,353,,109310,,515,,3042,,137,,2040
25005611201,2018,0,2863,,2856,,222,,112574,,1412,,1743,,50,,770
25005611201,2019,0,2935,,2910,,161,,113587,,1786,,1845,,54,,776
25005611202,2018,0,6161,,6066,,277,,99833,,1665,,3851,,247,,1781
25005611202,2019,0,6099,,6007,,242,,106454,,1899,,3859,,201,,1725
25005612100,2018,0,4656,,4648,,358,,100060,,,-666666666,2658,,93,,1457
25005612100,2019,0,4682,,4675,,345,,100523,,872,,2669,,122,,1498
25005612200,2018,0,9354,,9189,,327,,98636,,1448,,5323,,236,,0
25005612200,2019,0,9514,,9342,,429,,101477,,1665,,5369,,235,,0
25005613100,2018,0,6784,,6720,,491,,75000,,960,,4060,,236,,7699
25005613100,2019,0,6582,,6530,,542,,82816,,929,,3886,,232,,7621
25005613300,2018,0,6968,,6865,,490,,79375,,1439,,3716,,145,,928
25005613300,2019,0,6875,,6775,,418,,82819,,1369,,3872,,219,,978
25005613400,2018,0,3623,,3614,,473,,91310,,1364,,2000,,94,,1032
25005613400,2019,0,3637,,3637,,477,,93942,,1255,,1931,,92,,1062
25005613600,2018,0,3994,,3967,,626,,41065,,987,,2087,,122,,1143
25005613600,2019,0,3850,,3850,,845,,42537,,963,,2098,,195,,1233
25005613700,2018,0,4208,,3991,,560,,49250,,929,,2086,,163,,1227
25005613700,2019,0,4380,,4179,,619,,54575,,1055,,2153,,134,,1368
25005613800,2018,1,5092,,4961,,1516,,31162,,976,,2580,,197,,4871
25005613800,2019,1,5657,,5514,,1547,,31785,,998,,2745,,189,,5116
25005613901,2018,0,2543,,2543,,569,,45762,,880,,1316,,38,,143
25005613901,2019,0,2741,,2727,,657,,46131,,963,,1330,,46,,163
25005613902,2018,0,5108,,5088,,470,,69750,,1136,,2829,,220,,991
25005613902,2019,0,5075,,5018,,368,,68313,,1113,,2753,,187,,955
25005614000,2018,0,4828,,4798,,1506,,38269,,860,,2216,,210,,797
25005614000,2019,0,4555,,4541,,1382,,44861,,902,,2260,,214,,819
25005614101,2018,0,7131,,7131,,493,,63144,,1161,,3701,,188,,3470
25005614101,2019,0,7037,,7037,,614,,63625,,1233,,3877,,257,,3518
25005614102,2018,0,6684,,6681,,567,,91569,,873,,3916,,212,,1976
25005614102,2019,0,6735,,6731,,561,,92131,,858,,3975,,240,,1903
