"borough","neighborhood","building_class_category","block","lot","commercial_units","total_units","gross_square_feet","year_built","sale_price","sale_date","latitude","longitude","community_board"
"5","NEW DORP","44 CONDO PARKING","4229","1125","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1126","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1127","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1128","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1129","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1130","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1132","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1133","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"5","NEW DORP","44 CONDO PARKING","4229","1136","1","1",,,"580000","2025-08-18T00:00:00.000","40.56941","-74.123496","502"
"1","TRIBECA","21 OFFICE BUILDINGS","214","12","2","4","10,218","1920","17400000","2025-08-19T00:00:00.000","40.72115","-74.00929","101"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","341","75","2","30","27,350","1910","0","2025-08-19T00:00:00.000","40.716607","-73.985271","103"
"1","FLATIRON","21 OFFICE BUILDINGS","829","45","7","7","8,936","1915","1","2025-08-19T00:00:00.000","40.74487","-73.987766","105"
"1","FLATIRON","21 OFFICE BUILDINGS","829","46","3","3","9,104","1915","1","2025-08-19T00:00:00.000","40.744922","-73.987892","105"
"2","WESTCHESTER","29 COMMERCIAL GARAGES","4082","5","1","1","156","1960","0","2025-08-19T00:00:00.000","40.844572","-73.846309","211"
"3","CROWN HEIGHTS","14 RENTALS - 4-10 UNIT","1252","9","2","7","6,000","1931","2500000","2025-08-19T00:00:00.000","40.672044","-73.957462","308"
"3","WILLIAMSBURG-EAST","01 ONE FAMILY DWELLINGS","3073","86","1","2","2,775","2006","1950000","2025-08-19T00:00:00.000","40.706392","-73.937786","301"
"3","EAST NEW YORK","33 EDUCATIONAL FACILITIES","3805","26","1","1","18,000","1969","6000000","2025-08-19T00:00:00.000","40.666064","-73.894388","305"
"3","GOWANUS","30 WAREHOUSES","412","21","2","2","17,413","1920","15250000","2025-08-19T00:00:00.000","40.681221","-73.984616","306"
"3","CYPRESS HILLS","02 TWO FAMILY DWELLINGS","4130","70","1","3","3,285","1920","0","2025-08-19T00:00:00.000","40.683444","-73.872951","305"
"3","MIDWOOD","47 CONDO NON-BUSINESS STORAGE","6759","1001","1","1",,"2004","1200000","2025-08-19T00:00:00.000","40.611605","-73.960717","314"
"3","MIDWOOD","42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC","6759","1003","1","1",,"2004","1200000","2025-08-19T00:00:00.000","40.611605","-73.960717","314"
"3","MIDWOOD","42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC","6759","1005","1","1",,"2004","1200000","2025-08-19T00:00:00.000","40.611605","-73.960717","314"
"3","OCEAN PARKWAY-SOUTH","22 STORE BUILDINGS","7104","266","1","3","4,650","1931","4100000","2025-08-19T00:00:00.000","40.597086","-73.972334","315"
"3","MARINE PARK","01 ONE FAMILY DWELLINGS","7714","42","1","2","2,480","1926","0","2025-08-19T00:00:00.000","40.612412","-73.940229","318"
"3","MARINE PARK","22 STORE BUILDINGS","7889","163","2","2","2,380","2005","1025000","2025-08-19T00:00:00.000","40.617067","-73.930781","318"
"3","BRIGHTON BEACH","44 CONDO PARKING","8720","2512","1","1",,,"2100000","2025-08-19T00:00:00.000","40.577075","-73.957421","313"
"3","BRIGHTON BEACH","44 CONDO PARKING","8720","2516","1","1",,,"2100000","2025-08-19T00:00:00.000","40.577075","-73.957421","313"
"3","BRIGHTON BEACH","44 CONDO PARKING","8720","2603","1","1",,"2005","2100000","2025-08-19T00:00:00.000","40.575856","-73.957278","313"
"4","MASPETH","30 WAREHOUSES","2611","96","1","1","26,020","1950","1","2025-08-19T00:00:00.000","40.716883","-73.921197","405"
"4","LONG ISLAND CITY","29 COMMERCIAL GARAGES","310","14","1","1","2,500","1931","1250000","2025-08-19T00:00:00.000","40.735353","-73.935291","402"
"4","FLUSHING-NORTH","44 CONDO PARKING","5062","1024","1","1",,,"0","2025-08-19T00:00:00.000","40.755371","-73.834344","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5102","1614","1","1",,"2021","0","2025-08-19T00:00:00.000","40.753327","-73.832689","407"
"4","FLUSHING-NORTH","01 ONE FAMILY DWELLINGS","5582","14","1","2","2,403","1960","0","2025-08-19T00:00:00.000","40.753517","-73.794375","411"
"4","ASTORIA","44 CONDO PARKING","574","1318","1","1",,"2023","900000","2025-08-19T00:00:00.000","40.769746","-73.924171","401"
"4","LITTLE NECK","21 OFFICE BUILDINGS","8271","61","1","1","2,336","1950","1200000","2025-08-19T00:00:00.000","40.767422","-73.7283","411"
"1","MIDTOWN WEST","46 CONDO STORE BUILDINGS","1008","1001","1","1",,"1982","0","2025-08-20T00:00:00.000","40.763912","-73.97833","105"
"1","MIDTOWN WEST","25 LUXURY HOTELS","1009","44","1","1","128,433","2012","0","2025-08-20T00:00:00.000","40.764688","-73.978095","105"
"1","MIDTOWN WEST","45 CONDO HOTELS","1010","1905","1","1",,"1927","0","2025-08-20T00:00:00.000","40.764441","-73.97746","105"
"1","UPPER EAST SIDE (79-96)","47 CONDO NON-BUSINESS STORAGE","1540","1003","1","1",,,"880000","2025-08-20T00:00:00.000","40.784214","-73.949132","108"
"1","LOWER EAST SIDE","26 OTHER HOTELS","294","7","1","1","71,380","2014","92000000","2025-08-20T00:00:00.000","40.714815","-73.992612","103"
"1","SOHO","45 CONDO HOTELS","491","1572","1","1",,"2007","670000","2025-08-20T00:00:00.000","40.725616","-74.005253","102"
"1","FASHION","21 OFFICE BUILDINGS","758","82","33","33","342,596","1927","105000000","2025-08-20T00:00:00.000","40.753717","-73.996051","104"
"2","RIVERDALE","22 STORE BUILDINGS","5871","530","3","3","2,925","1962","1550000","2025-08-20T00:00:00.000","40.907098","-73.904026","208"
"3","CROWN HEIGHTS","02 TWO FAMILY DWELLINGS","1247","69","1","3","1,800","1910","927225","2025-08-20T00:00:00.000","40.671754","-73.952321","308"
"3","GREENPOINT","44 CONDO PARKING","2521","1519","1","1",,"2015","2612500","2025-08-20T00:00:00.000","40.732666","-73.959718","301"
"3","OCEAN PARKWAY-NORTH","44 CONDO PARKING","5392","1101","1","1",,"2023","1205000","2025-08-20T00:00:00.000","40.63806","-73.969665","312"
"3","BENSONHURST","44 CONDO PARKING","6326","1114","1","1",,"2024","956749","2025-08-20T00:00:00.000","40.609795","-74.003112","311"
"3","BENSONHURST","44 CONDO PARKING","6326","1120","1","1",,"2024","966932","2025-08-20T00:00:00.000","40.609795","-74.003112","311"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","6445","34","1","3","2,715","1910","10","2025-08-20T00:00:00.000","40.599672","-73.998988","311"
"3","MIDWOOD","44 CONDO PARKING","6766","1397","1","1",,"2015","30420","2025-08-20T00:00:00.000","40.61157","-73.954929","314"
"3","GRAVESEND","44 CONDO PARKING","6866","1013","1","1",,,"0","2025-08-20T00:00:00.000","40.597533","-73.988798","311"
"3","GRAVESEND","44 CONDO PARKING","7116","1017","1","1",,"2007","0","2025-08-20T00:00:00.000","40.594458","-73.981489","313"
"3","MADISON","02 TWO FAMILY DWELLINGS","7329","47","1","3","2,568","1925","0","2025-08-20T00:00:00.000","40.599841","-73.947313","315"
"3","SUNSET PARK","14 RENTALS - 4-10 UNIT","766","1","1","5","4,000","1936","0","2025-08-20T00:00:00.000","40.64661","-74.008739","307"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","766","103","1","3","3,536","1918","0","2025-08-20T00:00:00.000","40.646643","-74.008706","307"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","766","2","1","3","3,036","1906","0","2025-08-20T00:00:00.000","40.646627","-74.008724","307"
"3","SUNSET PARK","02 TWO FAMILY DWELLINGS","766","3","1","3","3,024","1905","0","2025-08-20T00:00:00.000","40.646635","-74.008713","307"
"4","MASPETH","02 TWO FAMILY DWELLINGS","2762","7","1","3","3,992","1935","0","2025-08-20T00:00:00.000","40.71518","-73.901301","405"
"4","FLUSHING-NORTH","44 CONDO PARKING","5066","2415","1","1",,"2020","958540","2025-08-20T00:00:00.000","40.755575","-73.836625","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5066","2417","1","1",,"2020","1099935","2025-08-20T00:00:00.000","40.755575","-73.836625","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","5181","1303","1","1",,"2019","40000","2025-08-20T00:00:00.000","40.757918","-73.823","407"
"4","OZONE PARK","22 STORE BUILDINGS","9078","65","3","6","4,780","1931","0","2025-08-20T00:00:00.000","40.680109","-73.860594","409"
"4","BRIARWOOD","22 STORE BUILDINGS","9646","21","4","4","2,900","1991","1633300","2025-08-20T00:00:00.000","40.707419","-73.817425","408"
"4","BRIARWOOD","22 STORE BUILDINGS","9646","25","5","5","3,625","1991","3266700","2025-08-20T00:00:00.000","40.707172","-73.817248","408"
"1","UPPER WEST SIDE (59-79)","45 CONDO HOTELS","1138","1557","1","1",,,"10","2025-08-21T00:00:00.000","40.774417","-73.983475","107"
"1","MIDTOWN WEST","46 CONDO STORE BUILDINGS","1262","100","1","1",,"1925","0","2025-08-21T00:00:00.000","40.757451","-73.980469","105"
"1","LOWER EAST SIDE","07 RENTALS - WALKUP APARTMENTS","350","12","2","17","12,200","1920","7250000","2025-08-21T00:00:00.000","40.721671","-73.984505","103"
"1","EAST VILLAGE","26 OTHER HOTELS","451","39","2","2","8,280","1900","1700000","2025-08-21T00:00:00.000","40.728269","-73.984803","103"
"1","GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","570","14","1","10","5,072","1900","24900000","2025-08-21T00:00:00.000","40.734945","-73.99327","102"
"1","GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","570","15","2","7","6,002","1900","24900000","2025-08-21T00:00:00.000","40.734915","-73.993198","102"
"2","BELMONT","30 WAREHOUSES","3055","35","1","1","3,600","1931","1750000","2025-08-21T00:00:00.000","40.855591","-73.890668","206"
"2","RIVERDALE","44 CONDO PARKING","5723","1094","1","1",,"1986","610000","2025-08-21T00:00:00.000","40.877629","-73.91905","208"
"3","CROWN HEIGHTS","14 RENTALS - 4-10 UNIT","1225","3","1","4","2,312","1910","1200000","2025-08-21T00:00:00.000","40.674892","-73.953534","308"
"3","BEDFORD STUYVESANT","14 RENTALS - 4-10 UNIT","1803","45","1","6","4,800","1931","2300000","2025-08-21T00:00:00.000","40.687933","-73.947738","303"
"3","BEDFORD STUYVESANT","21 OFFICE BUILDINGS","1941","20","8","8","56,112","1969","0","2025-08-21T00:00:00.000","40.690758","-73.956635","303"
"3","COBBLE HILL-WEST","14 RENTALS - 4-10 UNIT","352","20","1","5","2,180","1900","0","2025-08-21T00:00:00.000","40.683399","-74.004936","306"
"3","CYPRESS HILLS","14 RENTALS - 4-10 UNIT","3948","134","2","4","3,080","1920","0","2025-08-21T00:00:00.000","40.676696","-73.889905","305"
"3","BAY RIDGE","44 CONDO PARKING","6127","1109","1","1",,"2003","810000","2025-08-21T00:00:00.000","40.613708","-74.030367","310"
"3","MADISON","44 CONDO PARKING","7298","1020","1","1",,"2004","660000","2025-08-21T00:00:00.000","40.603313","-73.952168","315"
"3","SUNSET PARK","14 RENTALS - 4-10 UNIT","885","4","2","4","4,700","1931","2225000","2025-08-21T00:00:00.000","40.662102","-73.992625","307"
"4","ELMHURST","42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC","1506","1001","1","1",,"1975","0","2025-08-21T00:00:00.000","40.745962","-73.883713","404"
"4","ELMHURST","42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC","1506","1002","1","1",,"1964","0","2025-08-21T00:00:00.000","40.745962","-73.883713","404"
"4","HAMMELS","44 CONDO PARKING","16112","1112","1","1",,"2006","455000","2025-08-21T00:00:00.000","40.588188","-73.805448","414"
"4","ROCKAWAY PARK","44 CONDO PARKING","16173","1122","1","1",,"2006","528472","2025-08-21T00:00:00.000","40.583119","-73.82144","414"
"4","CORONA","01 ONE FAMILY DWELLINGS","1944","135","1","2","2,150","1924","0","2025-08-21T00:00:00.000","40.742534","-73.854556","404"
"4","FLUSHING-NORTH","44 CONDO PARKING","5050","1211","1","1",,"2014","700000","2025-08-21T00:00:00.000","40.760291","-73.818955","407"
"4","ASTORIA","02 TWO FAMILY DWELLINGS","623","7","1","3","3,180","1927","2500000","2025-08-21T00:00:00.000","40.761166","-73.923639","401"
"4","HILLCREST","01 ONE FAMILY DWELLINGS","7027","1","1","1","3,740","1940","0","2025-08-21T00:00:00.000","40.721188","-73.801239","408"
"4","OZONE PARK","27 FACTORIES","9027","1","1","1","24,395","1949","10700000","2025-08-21T00:00:00.000","40.686958","-73.852997","409"
"4","OZONE PARK","27 FACTORIES","9027","80","1","1","7,200","1987","10700000","2025-08-21T00:00:00.000","40.686401","-73.852872","409"
"4","RICHMOND HILL","30 WAREHOUSES","9423","11","1","1","5,430","1972","4450000","2025-08-21T00:00:00.000","40.686701","-73.837403","409"
"4","RICHMOND HILL","27 FACTORIES","9423","13","1","1","4,900","1946","4450000","2025-08-21T00:00:00.000","40.686759","-73.837201","409"
"1","MIDTOWN WEST","26 OTHER HOTELS","1009","37","2","2","112,850","2007","0","2025-08-22T00:00:00.000","40.764455","-73.977532","105"
"1","CLINTON","47 CONDO NON-BUSINESS STORAGE","1053","1271","1","1",,"2006","950000","2025-08-22T00:00:00.000","40.76045","-73.993416","104"
"1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS","1633","32","1","14","11,540","1920","1900000","2025-08-22T00:00:00.000","40.791206","-73.945883","111"
"3","CROWN HEIGHTS","44 CONDO PARKING","1167","1062","1","1",,,"1485000","2025-08-22T00:00:00.000","40.674404","-73.962277","308"
"3","CROWN HEIGHTS","14 RENTALS - 4-10 UNIT","1175","61","2","4","4,360","1910","2700000","2025-08-22T00:00:00.000","40.672547","-73.957303","308"
"3","WILLIAMSBURG-NORTH","44 CONDO PARKING","2299","1203","1","1",,,"0","2025-08-22T00:00:00.000","40.718767","-73.953312","301"
"3","WILLIAMSBURG-EAST","46 CONDO STORE BUILDINGS","3127","1001","1","1",,"2018","2000000","2025-08-22T00:00:00.000","40.701719","-73.941311","301"
"3","BOERUM HILL","02 TWO FAMILY DWELLINGS","384","10","1","3","2,318","1931","0","2025-08-22T00:00:00.000","40.687749","-73.993293","302"
"3","MADISON","08 RENTALS - ELEVATOR APARTMENTS","7298","45","1","106","95,238","2018","52500000","2025-08-22T00:00:00.000","40.602138","-73.951942","315"
"3","SUNSET PARK","44 CONDO PARKING","891","1040","1","1",,"2006","0","2025-08-22T00:00:00.000","40.660848","-73.992571","307"
"3","PARK SLOPE","44 CONDO PARKING","954","1135","1","1",,"1928","246250","2025-08-22T00:00:00.000","40.674665","-73.97595","306"
"4","JACKSON HEIGHTS","22 STORE BUILDINGS","1365","11","3","3","2,160","1960","1200000","2025-08-22T00:00:00.000","40.763479","-73.878025","403"
"4","SUNNYSIDE","37 RELIGIOUS FACILITIES","198","36","1","1","4,196","1930","0","2025-08-22T00:00:00.000","40.741725","-73.924087","402"
"4","RIDGEWOOD","43 CONDO OFFICE BUILDINGS","3361","1007","1","1",,"1987","85000","2025-08-22T00:00:00.000","40.713259","-73.912021","405"
"4","LONG ISLAND CITY","44 CONDO PARKING","408","1108","1","1",,"2019","1790000","2025-08-22T00:00:00.000","40.7533","-73.939276","401"
"4","LONG ISLAND CITY","47 CONDO NON-BUSINESS STORAGE","408","1125","1","1",,"2019","1790000","2025-08-22T00:00:00.000","40.7533","-73.939276","401"
"4","FLUSHING-NORTH","44 CONDO PARKING","4954","1120","1","1",,"2014","8000","2025-08-22T00:00:00.000","40.768542","-73.827748","407"
"4","FLUSHING-NORTH","22 STORE BUILDINGS","5027","1","2","4","4,590","1924","0","2025-08-22T00:00:00.000","40.762364","-73.816029","407"
"4","ASTORIA","44 CONDO PARKING","571","1044","1","1",,,"360000","2025-08-22T00:00:00.000","40.76831","-73.926891","401"
"4","ASTORIA","43 CONDO OFFICE BUILDINGS","571","1086","1","1",,"1988","360000","2025-08-22T00:00:00.000","40.76831","-73.926891","401"
"4","ASTORIA","02 TWO FAMILY DWELLINGS","624","144","1","3","4,940","1930","0","2025-08-22T00:00:00.000","40.763088","-73.920864","401"
"4","RICHMOND HILL","02 TWO FAMILY DWELLINGS","9327","5","1","3","3,449","1930","1475000","2025-08-22T00:00:00.000","40.699578","-73.832359","409"
"1","MIDTOWN WEST","45 CONDO HOTELS","1010","1905","1","1",,"1927","0","2025-08-25T00:00:00.000","40.764441","-73.97746","105"
"1","UPPER EAST SIDE (79-96)","47 CONDO NON-BUSINESS STORAGE","1497","1005","1","1",,"1928","10","2025-08-25T00:00:00.000","40.781149","-73.959923","108"
"1","UPPER EAST SIDE (79-96)","47 CONDO NON-BUSINESS STORAGE","1497","1012","1","1",,"1928","10","2025-08-25T00:00:00.000","40.781149","-73.959923","108"
"1","UPPER WEST SIDE (96-116)","47 CONDO NON-BUSINESS STORAGE","1881","1371","1","1",,"1900","950000","2025-08-25T00:00:00.000","40.803474","-73.965079","107"
"1","CHELSEA","46 CONDO STORE BUILDINGS","767","1101","1","1",,,"5900000","2025-08-25T00:00:00.000","40.741135","-73.999845","104"
"2","HIGHBRIDGE/MORRIS HEIGHTS","29 COMMERCIAL GARAGES","2855","28","1","1","1,525","1926","600000","2025-08-25T00:00:00.000","40.837239","-73.920668","204"
"3","DOWNTOWN-FULTON MALL","46 CONDO STORE BUILDINGS","174","1201","1","1",,"2025","0","2025-08-25T00:00:00.000","40.686419","-73.979444","302"
"3","DOWNTOWN-FULTON MALL","46 CONDO STORE BUILDINGS","174","1202","1","1",,"2025","0","2025-08-25T00:00:00.000","40.686419","-73.979444","302"
"3","DOWNTOWN-FULTON MALL","43 CONDO OFFICE BUILDINGS","174","1203","1","1",,"2025","0","2025-08-25T00:00:00.000","40.686419","-73.979444","302"
"3","DOWNTOWN-FULTON MALL","43 CONDO OFFICE BUILDINGS","174","1204","1","1",,"2025","0","2025-08-25T00:00:00.000","40.686419","-73.979444","302"
"3","WILLIAMSBURG-SOUTH","28 COMMERCIAL CONDOS","2134","1422","1","1",,"2023","1120075","2025-08-25T00:00:00.000","40.707373","-73.968411","301"
"3","WILLIAMSBURG-NORTH","47 CONDO NON-BUSINESS STORAGE","2379","1182","1","1",,"2022","2535","2025-08-25T00:00:00.000","40.715798","-73.962758","301"
"3","WILLIAMSBURG-EAST","30 WAREHOUSES","2992","14","1","1","600","1931","1700000","2025-08-25T00:00:00.000","40.707966","-73.930899","301"
"3","WILLIAMSBURG-EAST","27 FACTORIES","3003","1","2","2","8,250","2002","0","2025-08-25T00:00:00.000","40.705724","-73.931706","301"
"3","BOROUGH PARK","32 HOSPITAL AND HEALTH FACILITIES","5645","44","1","1","5,400","1920","2075000","2025-08-25T00:00:00.000","40.63878","-73.999859","312"
"3","BOROUGH PARK","01 ONE FAMILY DWELLINGS","5679","16","1","2","2,440","1915","1590000","2025-08-25T00:00:00.000","40.637882","-74.00592","312"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","5854","44","1","3","3,240","1931","1605000","2025-08-25T00:00:00.000","40.635819","-74.023041","310"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","5854","45","1","3","3,240","1931","1605000","2025-08-25T00:00:00.000","40.635802","-74.023048","310"
"3","OCEAN PARKWAY-NORTH","44 CONDO PARKING","6494","1013","1","1",,,"660000","2025-08-25T00:00:00.000","40.630251","-73.971002","314"
"3","GERRITSEN BEACH","22 STORE BUILDINGS","8833","100","1","1","2,792","1972","2600000","2025-08-25T00:00:00.000","40.593109","-73.932714","315"
"4","CAMBRIA HEIGHTS","01 ONE FAMILY DWELLINGS","12818","49","1","2","2,808","1950","0","2025-08-25T00:00:00.000","40.685717","-73.730897","413"
"4","JACKSON HEIGHTS","22 STORE BUILDINGS","1436","1","1","1","1,900","1992","3700000","2025-08-25T00:00:00.000","40.756157","-73.879595","403"
"4","ELMHURST","02 TWO FAMILY DWELLINGS","1523","1","1","3","6,560","1928","0","2025-08-25T00:00:00.000","40.743562","-73.887838","404"
"4","FOREST HILLS","44 CONDO PARKING","3345","1135","1","1",,"2023","1914000","2025-08-25T00:00:00.000","40.713554","-73.834217","406"
"4","FLUSHING-NORTH","44 CONDO PARKING","5040","1306","1","1",,"1960","50000","2025-08-25T00:00:00.000","40.755121","-73.832114","407"
"4","ASTORIA","22 STORE BUILDINGS","627","24","4","4","3,480","1925","0","2025-08-25T00:00:00.000","40.767115","-73.917903","401"
"4","ASTORIA","01 ONE FAMILY DWELLINGS","651","41","1","2","2,700","1925","0","2025-08-25T00:00:00.000","40.764466","-73.917827","401"
"4","HILLCREST","21 OFFICE BUILDINGS","7024","32","1","1","8,300","1931","0","2025-08-25T00:00:00.000","40.719342","-73.803712","408"
"4","JAMAICA","44 CONDO PARKING","9832","1013","1","1",,"2007","35000","2025-08-25T00:00:00.000","40.710457","-73.786652","412"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1171","2006","1","1",,,"2425000","2025-08-26T00:00:00.000","40.779871","-73.987756","107"
"1","UPPER WEST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","1232","55","3","128","111,811","1922","66000000","2025-08-26T00:00:00.000","40.787857","-73.977556","107"
"1","UPPER EAST SIDE (59-79)","43 CONDO OFFICE BUILDINGS","1374","1011","1","1",,"1985","5000000","2025-08-26T00:00:00.000","40.763336","-73.970789","108"
"1","UPPER EAST SIDE (59-79)","43 CONDO OFFICE BUILDINGS","1374","1012","1","1",,"1985","5000000","2025-08-26T00:00:00.000","40.763336","-73.970789","108"
"1","UPPER EAST SIDE (59-79)","43 CONDO OFFICE BUILDINGS","1374","1031","1","1",,"1985","5000000","2025-08-26T00:00:00.000","40.763336","-73.970789","108"
"1","UPPER EAST SIDE (59-79)","43 CONDO OFFICE BUILDINGS","1374","1032","1","1",,"1985","5000000","2025-08-26T00:00:00.000","40.763336","-73.970789","108"
"1","HARLEM-WEST","21 OFFICE BUILDINGS","1967","15","2","2","12,420","1926","3200000","2025-08-26T00:00:00.000","40.812887","-73.953622","109"
"1","CHINATOWN","14 RENTALS - 4-10 UNIT","235","5","1","7","11,944","1915","7300000","2025-08-26T00:00:00.000","40.71918","-73.999004","102"
"1","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS","587","36","1","3","5,324","1901","11000000","2025-08-26T00:00:00.000","40.73149","-74.00403","102"
"1","FLATIRON","21 OFFICE BUILDINGS","824","37","20","20","21,588","1900","13200000","2025-08-26T00:00:00.000","40.741041","-73.989961","105"
"2","MORRISANIA/LONGWOOD","22 STORE BUILDINGS","2603","11","1","1","20,000","1931","3950000","2025-08-26T00:00:00.000","40.812408","-73.903155","202"
"3","FLATBUSH-NORTH","44 CONDO PARKING","1333","1030","1","1",,"1999","18700","2025-08-26T00:00:00.000","40.662099","-73.942254","309"
"3","GREENPOINT","29 COMMERCIAL GARAGES","2685","34","1","1","1,000","1931","1200000","2025-08-26T00:00:00.000","40.723531","-73.945112","301"
"3","FLATBUSH-LEFFERTS GARDEN","14 RENTALS - 4-10 UNIT","4791","42","4","8","4,620","1930","0","2025-08-26T00:00:00.000","40.661709","-73.948266","309"
"3","BOROUGH PARK","02 TWO FAMILY DWELLINGS","5458","17","1","3","5,933","1975","0","2025-08-26T00:00:00.000","40.631355","-73.987567","312"
"3","BAY RIDGE","02 TWO FAMILY DWELLINGS","5941","42","1","3","3,300","1930","472500","2025-08-26T00:00:00.000","40.629338","-74.022711","310"
"3","BENSONHURST","07 RENTALS - WALKUP APARTMENTS","6273","6","1","55","45,100","1927","2887500","2025-08-26T00:00:00.000","40.610709","-73.997706","311"
"3","SUNSET PARK","44 CONDO PARKING","897","1216","1","1",,,"1352000","2025-08-26T00:00:00.000","40.660469","-73.99198","307"
"4","HOLLIS","22 STORE BUILDINGS","10459","1","4","4","11,325","1951","3600000","2025-08-26T00:00:00.000","40.71329","-73.765865","412"
"4","JACKSON HEIGHTS","14 RENTALS - 4-10 UNIT","1287","56","1","5","4,106","1928","0","2025-08-26T00:00:00.000","40.748024","-73.889747","403"
"4","FOREST HILLS","44 CONDO PARKING","3345","1118","1","1",,"2023","890000","2025-08-26T00:00:00.000","40.713554","-73.834217","406"
"4","FLUSHING-NORTH","43 CONDO OFFICE BUILDINGS","4958","1101","1","1",,"1996","399990","2025-08-26T00:00:00.000","40.764231","-73.832683","407"
"4","FLUSHING-NORTH","42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC","4958","1102","1","1",,"1996","399990","2025-08-26T00:00:00.000","40.764231","-73.832683","407"
"4","FLUSHING-NORTH","44 CONDO PARKING","4958","1115","1","1",,"1996","399990","2025-08-26T00:00:00.000","40.764231","-73.832683","407"
"4","FLUSHING-NORTH","07 RENTALS - WALKUP APARTMENTS","4958","44","3","19","25,388","1931","0","2025-08-26T00:00:00.000","40.763022","-73.831715","407"
"4","FLORAL PARK","22 STORE BUILDINGS","8675","59","1","1","7,500","1970","6200000","2025-08-26T00:00:00.000","40.752291","-73.701992","413"
"4","FLORAL PARK","22 STORE BUILDINGS","8675","70","1","1","2,024","1949","6200000","2025-08-26T00:00:00.000","40.752297","-73.701988","413"
"5","ROSEBANK","02 TWO FAMILY DWELLINGS","2854","20","1","3","2,950","1931","999999","2025-08-26T00:00:00.000","40.613973","-74.066061","501"
"5","CASTLETON CORNERS","21 OFFICE BUILDINGS","370","89","3","3","2,664","1949","975000","2025-08-26T00:00:00.000","40.615844","-74.12321","501"
"5","WESTERLEIGH","22 STORE BUILDINGS","427","30","1","1","5,440","1955","2200000","2025-08-26T00:00:00.000","40.616321","-74.131114","501"
"1","UPPER WEST SIDE (59-79)","47 CONDO NON-BUSINESS STORAGE","1171","3324","1","1",,,"35000","2025-08-27T00:00:00.000","40.776668","-73.989233","107"
"1","TRIBECA","45 CONDO HOTELS","16","9002","1","1",,,"0","2025-08-27T00:00:00.000","40.705328","-74.017183","101"
"1","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2132","37","3","22","11,895","1907","0","2025-08-27T00:00:00.000","40.84598","-73.932462","112"
"1","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2132","38","3","21","14,729","1906","0","2025-08-27T00:00:00.000","40.845937","-73.932495","112"
"1","WASHINGTON HEIGHTS LOWER","07 RENTALS - WALKUP APARTMENTS","2132","40","2","20","14,729","1906","0","2025-08-27T00:00:00.000","40.845895","-73.932523","112"
"1","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2153","29","13","69","37,533","1905","0","2025-08-27T00:00:00.000","40.847853","-73.934329","112"
"1","WASHINGTON HEIGHTS UPPER","07 RENTALS - WALKUP APARTMENTS","2153","36","4","22","43,417","1925","0","2025-08-27T00:00:00.000","40.848383","-73.934404","112"
"1","WASHINGTON HEIGHTS UPPER","08 RENTALS - ELEVATOR APARTMENTS","2162","68","10","43","46,290","1920","0","2025-08-27T00:00:00.000","40.848784","-73.93414","112"
