geoid,latitude,longitude,population,population_source_code,population_moe,population_moe_source_code,poverty_population,poverty_population_source_code,poverty_count,poverty_count_source_code,poverty_count_moe,poverty_count_moe_source_code,median_household_income,median_household_income_source_code,median_income_moe,median_income_moe_source_code,workers,workers_source_code,public_transit_workers,public_transit_workers_source_code,median_gross_rent,median_gross_rent_source_code,median_rent_moe,median_rent_moe_source_code
25005642100,41.7556521,-71.1250089,4346,,932.0,,4346,,869,,338.0,,48750.0,,20618.0,,1641,,0,,1353.0,,159.0,
25005642200,41.7284501,-71.1367731,3688,,572.0,,3283,,713,,297.0,,64432.0,,15649.0,,1451,,10,,970.0,,160.0,
25005642300,41.7199825,-71.1374816,2058,,233.0,,2044,,147,,83.0,,121250.0,,9307.0,,1149,,7,,1176.0,,152.0,
25005642400,41.7138346,-71.1344405,3085,,486.0,,3077,,291,,102.0,,77411.0,,32996.0,,1582,,75,,1089.0,,143.0,
25005642500,41.7258761,-71.0706159,4941,,470.0,,4680,,243,,112.0,,106875.0,,21190.0,,2736,,17,,1777.0,,144.0,
25005644101,41.7566903,-71.1446688,6068,,495.0,,5988,,279,,147.0,,110590.0,,8545.0,,3014,,14,,1391.0,,20.0,
25005644102,41.7806517,-71.1450746,5010,,462.0,,5003,,280,,157.0,,113005.0,,7686.0,,2476,,1,,1235.0,,79.0,
25005644200,41.7199755,-71.17945,7168,,484.0,,6962,,331,,171.0,,118333.0,,16312.0,,3797,,0,,,-666666666,,-222222222
25005645101,41.7119442,-71.2119191,5375,,679.0,,5365,,149,,155.0,,115556.0,,36328.0,,2862,,0,,1354.0,,273.0,
25005645102,41.7628245,-71.1806853,5792,,562.0,,5703,,90,,78.0,,122500.0,,17697.0,,3047,,0,,1221.0,,354.0,
25005645103,41.7582787,-71.2416296,6064,,561.0,,5976,,236,,167.0,,109688.0,,16273.0,,3053,,2,,1565.0,,624.0,
25005646101,41.6562971,-71.0942304,7743,,541.0,,7743,,485,,247.0,,87543.0,,5378.0,,3891,,0,,1115.0,,265.0,
25005646103,41.6025859,-71.0916313,5923,,497.0,,5913,,415,,311.0,,115588.0,,32419.0,,3118,,0,,1430.0,,491.0,
25005646104,41.5441765,-71.0736484,2716,,340.0,,2704,,77,,51.0,,116058.0,,22646.0,,1532,,0,,1593.0,,288.0,
25005650101,41.7175011,-70.9394362,5889,,770.0,,5503,,655,,493.0,,88772.0,,17495.0,,2940,,10,,1258.0,,567.0,
25005650102,41.7144498,-70.9499708,5305,,609.0,,5305,,1408,,646.0,,67813.0,,13620.0,,2480,,13,,1029.0,,237.0,
25005650201,41.6905133,-70.9574646,3240,,826.0,,3240,,162,,93.0,,106230.0,,17087.0,,1802,,0,,1179.0,,185.0,
25005650202,41.6740018,-70.9355116,2048,,311.0,,2048,,247,,133.0,,76500.0,,12382.0,,916,,0,,1044.0,,240.0,
25005650300,41.6810434,-70.9228076,3462,,665.0,,3462,,283,,157.0,,86667.0,,28791.0,,1976,,73,,1180.0,,67.0,
25005650400,41.6695702,-70.9229142,3796,,664.0,,3796,,803,,258.0,,60179.0,,14423.0,,1848,,63,,1134.0,,103.0,
25005650500,41.6691679,-70.9334549,3578,,395.0,,3578,,374,,180.0,,60060.0,,9383.0,,1864,,24,,1054.0,,78.0,
