GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25017312000|1266|354|1209|342|1000|310|209|101|105|77|99|69|0|14|0|14|5|9|3|8|0|14|0|14|3|8|0|14|0|14|0|14|0|14|0|14|7|18|10|15|37|33
1400000US25017312100|1753|260|1508|208|1241|224|267|153|244|151|0|14|13|28|10|20|0|14|20|32|20|32|0|14|0|14|0|14|0|14|0|14|0|14|0|14|66|38|11|27|148|106
1400000US25017312200|2441|267|1997|280|1739|309|258|117|131|92|31|39|34|40|62|81|0|14|18|30|18|30|0|14|0|14|0|14|0|14|0|14|0|14|8|14|21|24|77|68|320|174
1400000US25017312300|2729|392|2395|382|2123|365|272|168|241|166|0|19|0|19|0|19|31|51|26|42|0|19|0|19|26|42|0|19|0|19|0|19|0|19|0|19|0|19|0|19|308|191
1400000US25017312400|831|170|664|154|633|146|31|27|29|27|2|3|0|14|0|14|0|14|6|9|6|9|0|14|0|14|0|14|0|14|0|14|0|14|0|14|12|18|29|34|120|81
1400000US25017312501|2474|354|2005|327|1773|266|232|216|232|216|0|14|0|14|0|14|0|14|50|50|38|46|0|14|12|18|0|14|0|14|0|14|0|14|0|14|2|5|94|72|323|122
1400000US25017312502|2370|336|1889|341|1625|326|264|125|252|131|0|14|0|14|0|14|12|20|34|30|13|19|0|14|21|23|0|14|0|14|28|38|0|14|0|14|90|49|9|15|320|136
1400000US25017313101|3609|604|3035|463|2573|388|462|256|374|250|0|19|88|112|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|574|299
1400000US25017313102|2883|410|2383|395|2207|404|176|159|153|131|0|19|0|19|0|19|23|39|30|34|0|19|4|6|26|33|0|19|0|19|0|19|0|19|0|19|0|19|15|25|455|179
1400000US25017314101|3557|575|2865|574|2517|585|348|235|288|214|20|33|40|66|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|18|27|0|19|674|290
1400000US25017314102|3552|370|3088|336|2905|356|183|180|152|170|0|19|31|50|0|19|0|19|122|119|0|19|0|19|122|119|0|19|0|19|18|30|0|19|0|19|64|84|0|19|260|105
1400000US25017314200|3200|541|2934|571|2875|564|59|57|59|57|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|15|28|13|21|238|138
1400000US25017314301|4585|536|4018|469|3600|430|418|183|271|146|89|76|0|19|11|14|47|78|97|122|18|30|5|13|74|119|0|19|0|19|42|67|0|19|0|19|0|19|0|19|428|195
1400000US25017314302|2005|320|1776|287|1674|299|102|76|82|69|0|14|20|29|0|14|0|14|2|7|2|7|0|14|0|14|0|14|0|14|0|14|0|14|16|19|39|57|50|53|122|71
1400000US25017315100|3259|444|2729|464|2384|459|345|181|287|155|48|53|10|16|0|19|0|19|18|19|0|19|10|13|8|12|0|19|0|19|0|19|0|19|0|19|10|15|11|18|491|156
1400000US25017315200|4789|675|4105|609|3920|598|185|111|168|99|17|29|0|19|0|19|0|19|104|113|0|19|0|19|104|113|0|19|0|19|0|19|0|19|0|19|56|65|31|33|493|231
1400000US25017315401|1893|276|1679|284|1617|277|62|52|62|52|0|14|0|14|0|14|0|14|28|30|5|12|0|14|23|27|0|14|0|14|0|14|0|14|0|14|0|14|0|14|186|94
1400000US25017315402|1783|212|1456|208|1294|200|162|99|125|78|0|14|37|58|0|14|0|14|47|44|20|32|0|14|27|28|0|14|0|14|0|14|0|14|0|14|12|19|0|14|268|104
1400000US25017315403|880|95|767|92|701|96|66|42|62|42|4|7|0|14|0|14|0|14|7|10|0|14|0|14|7|10|0|14|0|14|0|14|0|14|0|14|0|14|6|10|100|42
1400000US25017315500|4209|470|3611|458|3555|446|56|73|56|73|0|19|0|19|0|19|0|19|19|29|0|19|19|29|0|19|0|19|0|19|0|19|0|19|57|67|16|27|0|19|506|138
1400000US25017316101|2648|291|2186|312|2082|306|104|65|104|65|0|14|0|14|0|14|0|14|76|55|15|25|0|14|61|47|0|14|0|14|9|13|0|14|0|14|0|14|0|14|377|124
1400000US25017316102|4102|763|2720|471|2370|452|350|227|194|193|68|97|0|19|11|20|77|86|20|33|0|19|0|19|20|33|0|19|0|19|0|19|0|19|0|19|49|74|69|76|1244|715
1400000US25017316201|2242|389|1801|391|1702|392|99|71|97|71|2|6|0|14|0|14|0|14|127|94|83|90|0|14|44|34|0|14|0|14|0|14|0|14|0|14|43|56|69|43|202|87
1400000US25017316202|2142|236|1747|289|1494|242|253|210|64|65|111|144|78|108|0|14|0|14|30|35|13|20|0|14|17|28|0|14|0|14|0|14|0|14|0|14|0|14|3|10|362|117
1400000US25017316300|5555|763|4378|786|3978|791|400|267|400|267|0|19|0|19|0|19|0|19|27|32|15|25|0|19|12|20|0|19|0|19|0|19|0|19|0|19|21|27|0|19|1129|264
1400000US25017316400|3746|546|3119|563|2781|556|338|269|229|214|0|19|27|41|82|127|0|19|68|65|0|19|46|53|22|36|0|19|0|19|0|19|0|19|0|19|47|54|0|19|512|233
1400000US25017316500|3719|605|2674|344|2473|335|201|141|174|138|27|32|0|19|0|19|0|19|55|54|29|38|0|19|26|36|0|19|0|19|72|101|28|41|0|19|167|141|57|86|666|340
1400000US25017317101|3238|469|2169|399|1973|360|196|157|74|83|122|125|0|19|0|19|0|19|73|67|0|19|0|19|73|67|0|19|0|19|52|69|0|19|0|19|46|74|56|51|842|258
