subnum	code	topicorder	typeorder	p1f	p1r	p1d	p2f	p2r	p2d	p3f	p3r	p3d	Tf	Tr	Td	Vf	Vr	Vd	T_O	T_P	V_O	V_P	NDcorrect	NDmark	TWRswe	TWRpde	WJwid	WJwatk	pseudopsg	pseudowords	p_total_f	p_avg_f	p_intra_r	p_pre_r	p_post_r	p_pre2_r	p_pre3_r	p_post2_r	p_postpre_r	p_post2pre_r	p_interline_r	p_sweep_r	p_total_r	p_total_d	p_avg_d	p_rest_words	p_rest_total_f	p_rest_avg_f	p_rest_r	p_rest_total_d	p_rest_avg_d	meaningpsg	realword	m_total_f	m_avg_f	m_intra_r	m_pre_r	m_post_r	m_pre2_r	m_pre3_r	m_post2_r	m_postpre_r	m_post2pre_r	m_interline_r	m_sweep_r	m_total_r	m_total_d	m_avg_d	m_rest_word	m_rest_total_f	m_rest_avg_f	m_rest_r	m_rest_total_d	m_rest_avg_d	filter_$	group
"   14.00"	"c"	2	1	23	7	243.3	77	15	221.09	108	27	250.41	77	15	221.09	108	27	250.41	1	2	2	1	35	195	77	60	101	42	1	0																0						2	15	23	1.5333333333333334	1	1	0	0	0	0	0	0	0	0	2	5668	246.43478260869566	46	52	1.1304347826086956	5	11160	214.6153846153846	1	1
"   15.00"	"b"	2	2	17	5	275.29	109	32	252.22	68	12	230.24	68	12	230.24	109	32	252.22	2	1	1	2	25	247	101	63	98	44	2	15	47	3.1333333333333333	9	5	2	0	0	0	0	0	0	0	16	12228	260.17021276595744	46	58	1.2608695652173914	4	14748	254.27586206896552	1	15	19	1.2666666666666666	1	0	0	0	0	0	0	0	0	0	1	4804	252.8421052631579	46	46	1	3	10356	225.1304347826087	0	1
"   16.00"	"d"	1	2	38	18	208.84	158	67	232.63	70	25	199.09	70	25	199.09	158	67	232.63	2	2	1	1	26	247	104	59	99	42	1	15	36	2.4	7	0	2	1	0	2	0	0	0	0	12	10072	279.77777777777777	46	83	1.8043478260869565	8	10148	122.26506024096386	2	15	17	1.1333333333333333	2	1	0	2	0	2	0	0	0	0	7	3708	218.11764705882354	46	43	0.9347826086956522	5	9252	215.1627906976744	1	1
"   17.00"	"c"	2	1	34	12	236.82	151	49	266.12	123	42	223.41	151	49	266.12	123	42	223.41	1	2	2	1	33	179	94	39	94	34	1	15	48	3.2	12	1	1	0	0	0	0	0	3	1	18	12864	268	46	66	1.434782608695652	13	14024	212.4848484848485	2	0																0						1	1
"   18.00"	"b"	2	2	27	9	195.26	119	35	249.95	75	29	226.35	75	29	226.35	119	35	249.95	2	1	1	2	33	247	93	60	100	43	2	0																0						1	0																0						0	1
"   19.00"	"a"	1	1	17	3	311.76	59	13	280.34	81	17	297.63	59	13	280.34	81	17	297.63	1	1	2	2	30	999	104	63	102	43	1	15	19	1.2666666666666666	0	0	1	0	0	0	0	0	0	0	1	5576	293.4736842105263	46	38	0.8260869565217391	3	10008	263.36842105263156	2	15	32	2.1333333333333333	2	0	0	0	0	0	0	1	0	0	3	11420	356.875	46	47	1.0217391304347827	5	12124	257.9574468085106	1	1
"   20.00"	"d"	1	2	32	11	249.38	101	26	263.52	77	21	223.17	77	21	223.17	101	26	263.52	2	2	1	1	21	232	92	61	95	38	1	15	38	2.533333333333333	9	1	2	0	0	0	0	0	0	0	12	12044	316.94736842105266	46	60	1.3043478260869565	7	14004	233.4	2	15	19	1.2666666666666666	1	3	2	0	0	0	0	0	0	0	6	4664	245.47368421052633	46	56	1.2173913043478262	7	12348	220.5	1	1
"   21.00"	"b"	2	2	14	4	162.86	124	42	280.58	83	27	242.22	83	27	242.22	124	42	280.58	2	1	1	2	34	429	91	57	99	39	2	11	34	3.090909090909091	6	3	1	0	0	0	0	0	0	0	10	10544	310.11764705882354	31	86	2.774193548387097	9	11928	138.69767441860466	1	15	24	1.6	1	1	1	0	1	0	0	0	0	0	4	6260	260.8333333333333	46	54	1.173913043478261	13	12936	239.55555555555554	0	1
"   22.00"	"c"	2	1	29	11	182.76	66	13	215.82	103	28	228.16	66	13	215.82	103	28	228.16	1	2	2	1	34	137	101	62	105	43	1	15	19	1.2666666666666666	7	1	2	0	0	0	0	0	0	0	10	9348	492	46	61	1.326086956521739	9	13820	226.55737704918033	2	15	18	1.2	1	1	0	0	0	0	0	0	0	0	2	3524	195.77777777777777	46	45	0.9782608695652174	3	10072	223.82222222222222	1	1
"   23.00"	"d"	1	2	19	6	257.47	89	22	251.1	63	16	257.9	63	16	257.9	89	22	251.1	2	2	1	1	37	339	98	62	102	43	1	0																0						2	0																0						1	1
"   24.00"	"a"	1	1	22	7	260.73	73	21	189.75	107	35	212.71	73	21	189.75	107	35	212.71	1	1	2	2	31	398	103	63	103	44	2	15	40	2.6666666666666665	7	5	1	0	0	1	0	0	0	0	14	10596	264.9	46	65	1.4130434782608696	11	11288	173.66153846153847	1	15	24	1.6	2	3	0	1	0	0	0	0	0	0	6	4756	198.16666666666666	46	48	1.0434782608695652	6	8736	182	0	1
"   25.00"	"a"	1	1	24	7	329.83	89	25	238.25	124	38	292.9	89	25	238.25	124	38	292.9	1	1	2	2	28	232	95	50	101	42	2	0																0						1	0																0						0	1
"   26.00"	"b"	2	2	25	11	243.68	102	32	253.41	75	25	223.41	75	25	223.41	102	32	253.41	2	1	1	2	38	568	99	61	100	39	2	15	38	2.533333333333333	6	3	2	2	0	1	0	0	0	0	14	10664	280.63157894736844	46	60	1.3043478260869565	10	14876	247.93333333333334	1	15	26	1.7333333333333334	4	2	1	0	0	0	0	0	0	0	7	6472	248.92307692307693	46	45	0.9782608695652174	7	9880	219.55555555555554	0	1
